question,option1,option2,option3,option4,answer
Which part of the human body contains the smallest bone?,Ear,Nose,Finger,Eye,Ear
The red colour of blood is due to:,Plasma,WBC,Haemoglobin,Platelets,Haemoglobin
Which vitamin helps in calcium absorption?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D
The largest gland in the human body is:,Pancreas,Liver,Thyroid,Kidney,Liver
Which blood group is called universal recipient?,A,O,B,AB Positive,AB Positive
The SI unit of energy is:,Newton,Watt,Joule,Volt,Joule
Which gas is used by plants during photosynthesis?,Nitrogen,Oxygen,Carbon dioxide,Helium,Carbon dioxide
The chemical symbol of sodium is:,So,Sd,Na,Nm,Na
Who discovered gravity?,Newton,Einstein,Edison,Galileo,Newton
The pH of acidic solution is:,7,More than 7,Less than 7,14,Less than 7
What is 24 × 5?,100,110,120,140,120
Find the square root of 169.,11,12,13,14,13
Solve: 40 ÷ 5 + 6,10,12,14,16,14
What is 15% of 300?,35,40,45,50,45
What is the cube of 4?,16,32,64,128,64
The value of 7² is:,42,49,56,63,49
Who was the first Prime Minister of India?,Gandhi,Nehru,Patel,Rajendra Prasad,Nehru
Which is the national aquatic animal of India?,Shark,Dolphin,Blue Whale,Crocodile,Dolphin
Who wrote the Indian Constitution?,B.R. Ambedkar,Gandhi,Nehru,Patel,B.R. Ambedkar
Which state is known as Spice Garden of India?,Kerala,Punjab,Gujarat,Rajasthan,Kerala
Which disease is caused by lack of insulin?,Cancer,Diabetes,Asthma,Malaria,Diabetes
Which organ produces bile juice?,Heart,Liver,Pancreas,Kidney,Liver
The SI unit of voltage is:,Ampere,Ohm,Watt,Volt,Volt
Which mirror is used in vehicles as rear-view mirror?,Concave,Convex,Plane,None,Convex
Which planet is known as Morning Star?,Mars,Venus,Jupiter,Saturn,Venus
Which key is used to move cursor to next line?,Shift,Enter,Ctrl,Alt,Enter
Which software is used for calculations?,MS Word,MS Paint,MS Excel,Chrome,MS Excel
Full form of CPU is:,Central Processing Unit,Computer Process Unit,Central Power Unit,Control Processing Unit,Central Processing Unit
Which memory is non-volatile?,RAM,Cache,ROM,Register,ROM
What does HTML stand for?,Hyper Text Markup Language,High Transfer Machine Language,Home Tool Markup Language,Hyperlink Text Makeup Language,Hyper Text Markup Language
Which company developed Windows OS?,IBM,Google,Apple,Microsoft,Microsoft
Which one is a storage device?,Keyboard,Mouse,Hard Disk,Monitor,Hard Disk
Which key is used to paste copied text?,Ctrl + C,Ctrl + X,Ctrl + V,Ctrl + P,Ctrl + V
Which gas is filled in balloons?,Oxygen,Hydrogen,Helium,Nitrogen,Helium
Which is the longest bone in human body?,Tibia,Femur,Radius,Ulna,Femur
Who invented computer?,Charles Babbage,Newton,Edison,Einstein,Charles Babbage
Which river flows through Egypt?,Amazon,Nile,Ganga,Thames,Nile
What is the chemical formula of carbon dioxide?,CO2,H2O,O2,NaCl,CO2
Which game uses a shuttlecock?,Cricket,Tennis,Badminton,Hockey,Badminton
How many continents are there in the world?,5,6,7,8,7
Which is the largest desert in the world?,Sahara,Gobi,Thar,Kalahari,Sahara
Which festival marks the harvest season in Tamil Nadu?,Holi,Pongal,Eid,Diwali,Pongal
Which instrument is used to measure air pressure?,Thermometer,Barometer,Hygrometer,Altimeter,Barometer
Which organ controls balance in human body?,Heart,Cerebellum,Liver,Kidney,Cerebellum
Which country is famous for Eiffel Tower?,USA,Italy,France,Germany,France
Which vitamin deficiency causes night blindness?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin A
What is the currency of USA?,Yen,Rupee,Dollar,Pound,Dollar
Which planet is called Blue Planet?,Mars,Earth,Venus,Jupiter,Earth
Which organ helps in breathing?,Heart,Kidney,Lungs,Liver,Lungs
What is the national song of India?,Jana Gana Mana,Vande Mataram,Sare Jahan Se Achha,None,Vande Mataram